1981,Victory,10853418
1981,Rollover,10851261
1981,Wolfen,10626725
1981,Carbon Copy,9566593
1981,Pennies From Heaven,9171289
1981,Deadly Blessing,8279042
1981,"Whose Life Is It, Anyway?",8206145
1981,Prince of the City,8124257
1981,The Fun House,7886857
1981,Buddy Buddy,7258543
1981,La Cage aux Folles 2,6950125
1981,All the Marbles,6468195
1981,Eyewitness,6400000
1981,Gallipoli,5732587
1981,My Bloody Valentine (1981),5672031
1981,Going Ape!,5504218
1981,The Dogs of War,5484132
1981,Student Bodies,5165432
1981,The Watcher in the Woods,5000000
1981,All Night Long,4454295
1981,The Pursuit of D.B. Cooper,3702028
1981,Zoot Suit,3256082
1981,The Fan (1981),3082096
1981,The Last Metro,3007436
1981,Gas,2869425
1981,Modern Romance,2863642
1981,The Hand,2447576
1981,Heartbeeps,2154696
1981,This Is Elvis,2028612
1981,Sphinx,2022771
1981,Honky Tonk Freeway,2004742
1981,Raggedy Man,1976198
1981,King of the Mountain,1791147
1981,Cutter's Way,1729274
1981,Silence of the North,1622898
1981,From Mao to Mozart,1205934
1981,Night School,1169875
1981,Eyes of a Stranger,1118634
1981,Herbie Goes to Monte Carlo (Re-issue),1000000
1981,Herbie Goes Bananas (Re-issue),1000000
1981,Sunday Lovers,621931
1981,Beyond the Reef,547525
1981,Cattle Annie and Little Britches,534816
1981,Hard Country,534653
1981,Man of Iron,492035
1981,Kelly,469777
1981,Freaky Friday (Re-issue),300000
1981,Sea Wolves,220181
1981,Second Hand Hearts,19450
1981,Glen or Glenda,10158
1982,E.T.: The Extra-Terrestrial,359197037
1982,Tootsie,177200000
1982,An Officer and a Gentleman,129795554
1982,Rocky III,124146897
1982,Porky's,105492483
1982,Star Trek II: The Wrath of Khan,78912963
1982,48 HRS.,78868508
1982,Poltergeist,76606280
1982,The Best Little Whorehouse in Texas,69701637
1982,Annie,57059003
1982,The Verdict,53977250
1982,Gandhi,52767889
1982,First Blood,47212904
1982,The Toy,47118057
1982,Firefox,46708276
1982,The Dark Crystal,40577001
1982,Conan the Barbarian,39565475
1982,The Sword and the Sorcerer,39103425
1982,Best Friends,36821203
1982,Richard Pryor: Live on the Sunset Strip,36299720
1982,Friday the 13th Part III,34581519
1982,Tron,33000000
1982,Young Doctors in Love,30688860
1982,Sophie's Choice,30036000
1982,The World According to Garp,29712172
1982,Victor/Victoria,28215453
1982,Blade Runner,27580111
1982,Airplane II: The Sequel,27150534
1982,Fast Times at Ridgemont High,27092880
1982,Some Kind of Hero,23671186
1982,The Road Warrior,23667907
1982,Bambi (Re-issue) (1982),23000000
1982,Pink Floyd: The Wall,22244207
1982,Raiders of the Lost Ark (Re-issue) (1982),21437879
1982,Things Are Tough All Over,21134374
1982,Night Shift,21095638
1982,Creepshow,21028755
1982,Quest for Fire,20959585
1982,The Man From Snowy River,20659423
1982,Six Pack,20225989
1982,My Favorite Year,20123620
1982,The Thing (1982),19629760
1982,Deathtrap,19282134
1982,Dead Men Don't Wear Plaid,18196170
1982,Peter Pan (Re-issue) (1982),17200000
1982,Zapped!,16897768
1982,They Call Me Bruce,16894678
1982,Death Wish II,16100000
1982,Kiss Me Goodbye,15782759
1982,Star Wars (Re-issue),15476285
1982,Grease 2,15171476
1982,The Secret of NIMH,14665733
1982,Halloween III: Season of the Witch,14400000
1982,Diner,14099953
1982,The Beastmaster,14056528
1982,Missing,14000000
1982,The Empire Strikes Back (Re-issue),13276241
1982,Visiting Hours,13258670
1982,Vice Squad,13253583
1982,Author! Author!,13111101
1982,Amityville II: The Possession,12534817
1982,Monsignor,12408066
1982,Making Love,11897978
1982,The Seduction,11378339
1982,Das Boot,10915250
1982,Silent Rage,10490791
1982,Savannah Smiles,10413170
1982,National Lampoon's Class Reunion,10054150
1982,Hanky Panky,9823934
1982,Shoot the Moon,9217530
1982,A Midsummer Night's Sex Comedy,9077269
1982,Trail of the Pink Panther,9056073
1982,If You Could See What I Hear,8693512
1982,Night Crossing,8000000
1982,The Pirate Movie,7983086
1982,The Beast Within,7742572
1982,Tex,7400000
1982,The Missionary,7241180
1982,Cat People,7000000
1982,I Ought to Be in Pictures,6968359
1982,The Amateur,6892098
1982,Six Weeks,6668025
1982,Forced Vengeance,6660333
1982,The Last Unicorn,6455330
1982,The Soldier,6328816
1982,The Border,6118683
1982,Evil Under the Sun,6110000
1982,Partners,6062898
1982,Still of the Night,5979947
1982,The Last American Virgin,5829781
1982,Megaforce,5675599
1982,Personal Best,5672311
1982,Paradise,5588800
1982,Cannery Row,5301539
1982,Venom,5229643
1982,Inchon,5200986
1982,Heidi's Song,5124391
1982,Tempest,5005245
1982,Summer Lovers,4968000
1982,Honky Tonk Man,4484991
1982,Jekyll and Hyde Together Again,3792188
1982,Wrong Is Right,3583513
1982,Fighting Back,3355948
1982,Penitentiary II,3178542
1982,The Challenge,2977706
1982,Homework,2914328
1982,Jinxed,2869638
1982,It Came From Hollywood,2573342
1982,A Stranger is Watching,2519559
1982,A Little Sex,2370376
1982,"Yes, Giorgio",2279543
1982,Exposed,1818910
1982,Barbarosa,1736123
1982,"I, the Jury",1515578
1982,Endangered Species,1474249
1982,The Sender,1054328
1982,Lookin' to Get Out,946461
1982,"Come Back to the Five and Dime, Jimmy Dean, Jimmy Dean",840958
1982,The House Where Evil Dwells,667863
1982,One from the Heart,636796
1982,Weavers: Wasn't That a Time,524203
1982,Monty Python Live at the Hollywood Bowl,327958
1982,I'm Dancing as Fast as I Can,291390
1982,Split Image,263635
1982,Five Days One Summer,199078
1982,The Escape Artist,143369
1982,Bugs Bunny's 1001 Rabbit Tales,78350
1982,National Lampoon's Movie Madness,63405
1982,White Dog,46509
1982,Hammett,42914
1982,"Ladies and Gentlemen, The Fabulous Stains",25728
1982,Love and Money,14009
1983,Return of the Jedi,252583617
1983,Terms of Endearment,108423489
1983,Flashdance,92921203
1983,Trading Places,90404800
1983,WarGames,79567667
1983,Octopussy,67893619
1983,Sudden Impact,67642693
1983,Staying Alive,64892670
1983,Mr. Mom,64783827
1983,Risky Business,63541777
1983,National Lampoon's Vacation,61399552
1983,Superman III,59950623
1983,The Big Chill,56342711
1983,Never Say Never Again,55432841
1983,Jaws 3-D,45517055
1983,Scarface (1983),44668798
1983,Blue Thunder,42313354
1983,Yentl,40218899
1983,Silkwood,35615609
1983,Psycho II,34725000
1983,Porky's II: The Next Day,33759266
1983,Uncommon Valor,30503151
1983,Snow White and the Seven Dwarfs (Re-issue) (1983),30100000
1983,Never Cry Wolf,29600000
1983,Twilight Zone: The Movie,29450919
1983,Easy Money,29309766
1983,High Road to China,28445927
1983,The Outsiders,25697647
1983,Spring Break,24071666
1983,Two of a Kind,23646952
1983,My Tutor,22587834
1983,Class,21667789
1983,The Right Stuff,21192102
1983,Cujo,21156152
1983,Christine,21017849
1983,The Rescuers (Re-issue),21000000
1983,The Dead Zone,20766616
1983,Breathless,19910002
1983,A Christmas Story,19294144
1983,Max Dugan Returns,17613720
1983,Valley Girl,17343596
1983,All the Right Moves,17233166
1983,Krull,16519460
1983,Spacehunter: Adventures in the Forbidden Zone,16478265
1983,Richard Pryor: Here and Now,16156776
1983,D.C. Cab,16134627
1983,Gorky Park,15856028
1983,Cheech & Chong Still Smokin',15543710
1983,Monty Python's The Meaning of Life,14929552
1983,Educating Rita,14648076
1983,Private School,14049540
1983,The Survivors,14000000
1983,The Entity,13277558
1983,Revenge of the Ninja,13168027
1983,To Be or Not to Be (1983),13030214
1983,Stroker Ace,13000000
1983,Lone Wolf McQuade,12232628
1983,The Black Stallion Returns,12049108
1983,The Sword in the Stone (Re-issue),12000000
1983,Deathstalker,11919250
1983,Zelig,11798616
1983,The Lords of Discipline,11787127
1983,Raiders of the Lost Ark (Re-issue) (1983),11374454
1983,The Smurfs and the Magic Flute,11234220
1983,The Man Who Loved Women,10964231
1983,Hercules (1983),10676194
1983,The House on Sorority Row,10604986
1983,Doctor Detroit,10375893
1983,Deal of the Century,10369581
1983,The Man with Two Brains,10353438
1983,The Year of Living Dangerously,10278575
1983,Brainstorm,10219460
1983,Lovesick,10171304
1983,Without a Trace,9632062
1983,Bad Boys (1983),9190819
1983,Rear Window (Re-issue) (1983),9084420
1983,Strange Brew,8571374
1983,Tender Mercies,8443124
1983,Something Wicked This Way Comes,8400000
1983,10 to Midnight,7175592
1983,Romantic Comedy,6857733
1983,Fanny and Alexander,6783304
1983,Nightmares,6670680
1983,The Golden Seal,6666725
1983,The Osterman Weekend,6486797
1983,Star 80,6472990
1983,The Sting II,6347072
1983,Amityville 3-D,6333135
1983,Chained Heat,6149983
1983,Beyond the Limit,5997566
1983,The Hunger,5979292
1983,Local Hero,5895761
1983,Porky's (Re-issue),5797190
1983,Under Fire,5696391
1983,Smokey & the Bandit Part III,5678950
1983,A Night in Heaven,5563663
1983,The Star Chamber,5555305
1983,The Grey Fox,5516140
1983,Vertigo (1983 re-issue),5343461
1983,The Dresser,5310748
1983,Metalstorm,5301085
1983,Vigilante,5091888
1983,Eddie and the Cruisers,4786789
1983,Curse of the Pink Panther,4491986
1983,Mortuary,4319001
1983,Trenchcoat,4304286
1983,Yellowbeard,4300000
1983,The Keep,4218594
1983,Joysticks,3952448
1983,Let's Spend the Night Together,3821199
1983,La Traviata,3783329
1983,The Return of Martin Guerre,3704433
1983,Running Brave,3000000
1983,Yor: Hunter from the Future,2810199
1983,The Final Option,2666873
1983,The King of Comedy,2536242
1983,Rumble Fish,2494480
1983,The Man Who Wasn't There (1983),2443487
1983,Table for Five,2439705
1983,Tough Enough,2433722
1983,The Evil Dead,2400000
1983,"Man, Woman and Child",2314561
1983,Merry Christmas Mr. Lawrence,2306560
1983,The Draughtsman's Contract,2256246
1983,The Night of the Shooting Stars,2251121
1983,Videodrome,2120439
1983,Friday the 13th Part III (Re-issue),2108548
1983,Screwballs,2082215
1983,Testament,2044892
1983,Pieces,2032311
1983,Nate and Hayes,1963756
1983,"Baby, It's You",1867792
1983,Heat and Dust,1741435
1983,Koyaanisqatsi,1723872
1983,Stryker,1723487
1983,Get Crazy,1645711
1983,Lianna,1530839
1983,Strange Invaders,1362303
1983,Eddie Macon's Run,1262691
1983,Losin' It,1246141
1983,The Lonely Lady,1223220
1983,Possession (1983),1113538
1983,"Say Amen, Somebody",1108299
1983,Of Unknown Origin,1080470
1983,Getting It On,975414
1983,Rocky III (Re-issue),902228
1983,Enigma (1983),893967
1983,Over the Brooklyn Bridge,837914
1983,The Ballad of Gregorio Cortez,804963
1983,L'Etoile du Nord,781151
1983,Lonely Hearts (1983),777087
1983,Fire and Ice,760883
1983,The Wicked Lady,724912
1983,The Pirates of Penzance,694497
1983,Daniel,687475
1983,Poltergeist (re-issue),536108
1983,Streamers,378452
1983,Britannia Hospital,375713
1983,Boarding School,306061
1983,Heart Like a Wheel,272278
1983,Puberty Blues,237000
