1984,A Nightmare on Elm Street,26505000
2009,An Education,12574715
1992,Candyman,25792310
1996,Brassed Off,2560471
2004,The Village,114195633
2007,Knocked Up,8165211
1990,Memphis Belle,27441977
1964,My Fair Lady,72000000
